Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cell_type
prerank,Oxidative Phosphorylation,-0.44339938015379715,-2.1246521642522325,0.0,0.0,0.0,85/198,19.96%,ATP5F1C;SLC25A5;ATP5F1B;TIMM8B;NDUFS2;UQCRC2;UQCRH;ATP5MC3;TIMM13;NDUFV2;COX5A;LDHB;ETFB;NDUFB6;PRDX3;UQCRFS1;CYC1;MRPL15;ATP5F1E;BDH2;MRPL35;COX6B1;IMMT;PDHB;NDUFA2;ATP5MF;COX6C;MRPS30;CS;SLC25A20;ATP5MC2;IDH2;ATP5F1A;ATP6V1D;UQCR10;COX7B;ALAS1;IDH3B;MRPS11;NDUFB4;MDH2;ATP6V1F;SLC25A12;ETFA;AIFM1;ATP5PF;NDUFA7;NDUFS7;NDUFS6;SLC25A3;VDAC2;NDUFB2;ATP5PB;ECH1;NDUFS3;OXA1L;NDUFB5;MRPS12;FXN;VDAC1;MDH1;PMPCA;PDP1;ATP5PO;TIMM50;SDHD;SUCLG1;MRPS15;NDUFV1;SUCLA2;COX6A1;DECR1;TOMM22;NDUFB3;NDUFS8;NNT;COX5B;SLC25A6;TIMM17A;FH;MTX2;HTRA2;MRPL34;NDUFA8;ACAA1,CD8_GZMK__naive_Tcm
prerank,Epithelial Mesenchymal Transition,0.565354178806533,2.0529392427498436,0.0,0.0,0.0,30/73,11.42%,IGFBP3;TIMP1;IL15;VIM;GLIPR1;ITGB1;ID2;ENO2;SGCD;SGCB;CD59;RHOB;PLOD3;AREG;TGFBI;PPIB;IL32;NT5E;NOTCH2;EMP3;FAS;PFN2;GADD45B;LOXL1;CADM1;PLAUR;TGFBR3;VCAM1;COPA;LGALS1,CD8_GZMK__naive_Tcm
prerank,IL-2/STAT5 Signaling,0.4886421838338378,1.9509006551835526,0.0,0.0004994577316056853,0.001,72/155,18.67%,RORA;PTGER2;CD48;HOPX;AHNAK;PTCH1;IL2RA;GPR65;IL2RB;RRAGD;KLF6;SERPINB6;GLIPR2;XBP1;ADAM19;IL10RA;AHR;PHTF2;BHLHE40;IL18R1;PRNP;RHOB;CCND2;GALM;TNFRSF18;SOCS2;CTSZ;SLC39A8;LRIG1;CDC42SE2;EMP1;CYFIP1;RABGAP1L;NT5E;FLT3LG;CCR4;IFNGR1;TNFRSF4;SYT11;ABCB1;ANXA4;ARL4A;P4HA1;GADD45B;RNH1;IGF2R;CST7;FAH;BCL2L1;TWSG1;ODC1;LRRC8C;RGS16;PHLDA1;CD83;NDRG1;GABARAPL1;TRAF1;MAP3K8;TNFRSF9;GPX4;SH3BGRL2;CSF1;BCL2;MAPKAPK2;CAPN3;ALCAM;NFIL3;HIPK2;P2RX4;CD44;FGL2,CD8_GZMK__naive_Tcm
prerank,Interferon Alpha Response,-0.43979590040846506,-1.8946950146124708,0.0,0.0025073291158771794,0.005,44/93,19.19%,LGALS3BP;SELL;ISG15;GBP2;UBE2L6;IRF7;CNP;IRF9;PSMB8;STAT2;SP110;ISG20;EPSTI1;TAP1;MX1;TRIM25;LAP3;RTP4;IFI35;USP18;PARP12;OAS1;NMI;PSME2;PARP9;TRAFD1;PNPT1;TMEM140;GBP4;IFI44L;IFITM1;RSAD2;CMPK2;DDX60;IFIT3;TRIM14;SAMD9L;CCRL2;TRIM21;ADAR;RNF31;PLSCR1;MVB12A;LAMP3,CD8_GZMK__naive_Tcm
prerank,Coagulation,0.5255660945130232,1.8355270634648775,0.0,0.0026637745685636548,0.008,14/56,6.80%,CPQ;CFH;TIMP1;ANXA1;CAPN2;DPP4;CLU;F8;CTSO;ISCU;CTSH;CRIP2;A2M;PDGFB,CD8_GZMK__naive_Tcm
prerank,TNF-alpha Signaling via NF-kB,0.4445538962319447,1.801021896921858,0.0,0.002747017523831269,0.011,74/154,23.40%,DUSP1;ID2;KLF6;IER5;SQSTM1;CLCF1;IL7R;BHLHE40;TNF;RHOB;AREG;FOS;IL15RA;CEBPB;CCL5;RIPK2;ATP2B1;TANK;FOSB;FOSL2;ATF3;GADD45B;CFLAR;SOD2;EGR1;GFPT2;ICAM1;PHLDA2;TIPARP;IER3;PLAUR;PPP1R15A;SLC16A6;KLF2;B4GALT1;MSC;NINJ1;PHLDA1;FOSL1;DUSP2;CD83;DRAM1;TNFSF9;TRAF1;TGIF1;MAP3K8;NFKBIA;TNFRSF9;IFIH1;CSF1;B4GALT5;ZFP36;PNRC1;BTG2;JUN;IER2;BIRC3;DUSP5;NFIL3;TNIP2;CD44;CDKN1A;TNFAIP3;NR4A2;PER1;SMAD3;RNF19B;EIF1;LITAF;DUSP4;MAFF;MCL1;JUNB;SERPINB8,CD8_GZMK__naive_Tcm
prerank,Inflammatory Response,0.44869103469818056,1.767673210953091,0.0,0.0027969632969918373,0.014,44/119,18.61%,PTGER2;TIMP1;CD48;IL15;SLC4A4;GABBR1;CD40;IL2RB;KLF6;IL7R;SRI;IL10RA;AHR;IL18R1;CD82;ACVR2A;SELENOS;IL15RA;SLAMF1;CCL5;RIPK2;IL18RAP;ATP2B1;EMP3;OSM;SLC31A2;KIF1B;ICAM1;SLC7A1;PLAUR;KCNA3;RGS16;TNFSF9;PROK2;NFKBIA;TNFRSF9;CSF1;CD70;C3AR1;BTG2;ACVR1B;P2RX4;BEST1;CDKN1A,CD8_GZMK__naive_Tcm
prerank,G2-M Checkpoint,-0.38641484815440774,-1.804513973177155,0.0,0.003343105487836239,0.01,69/171,24.65%,SMC4;TACC3;H2BC12;HMGA1;LMNB1;HIF1A;STMN1;RAD23B;CENPF;H2AZ2;KNL1;LBR;EZH2;MKI67;BARD1;ODF2;CENPE;TPX2;NASP;TOP2A;HMGN2;SMC1A;MCM5;CKS2;SMARCC1;BIRC5;NUP50;HMGB3;HNRNPD;LIG3;MYC;JPT1;SNRPD1;TROAP;SQLE;TFDP1;NUMA1;ORC5;CDKN3;PLK4;KPNA2;SS18;CUL3;RAD21;KPNB1;RBM14;NSD2;CCNF;TOP1;MT2A;FBXO5;CHMP1A;PRC1;KIF11;CCNT1;CTCF;HSPA8;MTF2;DR1;STIL;TNPO2;E2F3;NUSAP1;MCM3;PAFAH1B1;KMT5A;RBL1;DDX39A;NOLC1,CD8_GZMK__naive_Tcm
prerank,E2F Targets,-0.37461265384330367,-1.7812643636116772,0.0,0.003510260762228051,0.014,47/180,15.12%,SMC4;TACC3;HMGA1;LMNB1;STMN1;PAICS;SMC6;LBR;EZH2;MSH2;ING3;MKI67;BARD1;TUBB;CENPE;CCNE1;NASP;NME1;TOP2A;LUC7L3;SMC1A;MCM5;DSCC1;CKS2;TP53;BIRC5;NCAPD2;RFC3;HMGB3;CTPS1;HNRNPD;TIPIN;MYC;JPT1;DNMT1;DONSON;DCLRE1B;PNN;TBRG4;CDKN3;UBE2T;PLK4;KPNA2;RRM2;TUBG1;RAD21;UBR7,CD8_GZMK__naive_Tcm
prerank,Myc Targets V1,-0.34331936750820774,-1.6507481079450006,0.0,0.008625212158617498,0.043,103/196,28.82%,SERBP1;PPM1G;LSM2;RAD23B;NOP16;EIF3B;CCT2;PSMA4;PCBP1;IMPDH2;SET;COX5A;PRDX3;CCT3;CYC1;PSMA7;HDAC2;C1QBP;TRIM28;NME1;APEX1;MCM5;SMARCC1;PWP1;RACK1;MRPS18B;CTPS1;PSMD8;PSMB3;CBX3;HDDC2;AIMP2;SNRPD3;PSMC4;HPRT1;HNRNPD;PSMB2;SLC25A3;MYC;NCBP2;SNRPD1;COPS5;VDAC1;CCT5;PRPS2;TFDP1;LSM7;TYMS;HDGF;KPNA2;PPIA;PSMC6;KPNB1;EXOSC7;MCM4;UBA2;EIF2S2;STARD7;U2AF1;PSMA2;UBE2E1;PCNA;ACP1;CCT4;XRCC6;SNRPG;IARS1;EIF4G2;MRPL23;CAD;SF3A1;RSL1D1;DHX15;SNRPB2;ILF2;HNRNPA2B1;EIF3D;CCT7;PHB2;YWHAE;NOLC1;NPM1;MCM7;EIF4A1;ORC2;RFC4;GNL3;FAM120A;VDAC3;RAN;CLNS1A;DDX21;MCM2;CDK2;RPS5;PSMA1;EIF3J;NHP2;RUVBL2;POLE3;PSMD1;PSMD3;G3BP1,CD8_GZMK__naive_Tcm
